Title,Creator,Contributors,TulaneName,FullName,FirstName,LastName,BirthYear,DeathYear,Description,Notes,Date,Language,Identifier,Source,Relation,Coverage-Spatial,Collection,Rights,Publisher,Contact Information,Type,Format,Cataloger,Cataloged Date,Object File Name,Image Resolution (Archival),Image Bit-Depth (Archival),Color Mode (Archival),Extent (Archival),Image Manipulation (Archival),File Size (Archival),Hardware/Software (Archival),Digitized By,Digitized Date,File to Upload,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,Location URI
Paul Barbarian,"Smith, Mike",,"Eugene, Wendell",Wendell Eugene,Wendell,Eugene,,,"(funeral of); Wendell Eugene, tb, Noon Johnson, bazooka, Frank Demond, tb, and Clem Tervalon, tb; 13 of 13. North Claiborne Avenue",,1969-02-22,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Please contact photographer for permission to reproduce,,raeburn@tulane.edu,,,EC,03/15/13,OPH000073,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/73,73,74.jp2,/p16313coll33/image/74.jp2,http://sws.geonames.org/4335053/
Paul Barbarian,,,"Johnson, Noon",Noon Johnson,Noon,Johnson,,,"(funeral of); Wendell Eugene, tb, Noon Johnson, bazooka, Frank Demond, tb, and Clem Tervalon, tb; 13 of 13. North Claiborne Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/73,73,,,
Paul Barbarian,,,"Demond, Frank",Frank Demond,Frank,Demond,,,"(funeral of); Wendell Eugene, tb, Noon Johnson, bazooka, Frank Demond, tb, and Clem Tervalon, tb; 13 of 13. North Claiborne Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/73,73,,,
Paul Barbarian,,,"Tervalon, Clem",Clem Tervalon,Clem,Tervalon,,,"(funeral of); Wendell Eugene, tb, Noon Johnson, bazooka, Frank Demond, tb, and Clem Tervalon, tb; 13 of 13. North Claiborne Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/73,73,,,
Paul Barbarian,"Smith, Mike",,"Kohlman, Freddie",Freddie Kohlman,Freddie,Kohlman,,,"(funeral of); Freddie Kohlman, sn d, and Pete Fountain, cl. North Claiborne Avenue",,1969-02-22,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Please contact photographer for permission to reproduce,,raeburn@tulane.edu,,,EC,03/15/13,OPH000074,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/74,74,75.jp2,/p16313coll33/image/75.jp2,http://sws.geonames.org/4335053/
Paul Barbarian,,,"Fountain, Pete",Pete Fountain,Pete,Fountain,,,"(funeral of); Freddie Kohlman, sn d, and Pete Fountain, cl. North Claiborne Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/74,74,,,
Paul Barbarin's Band,"Hurley, Jack",,"Adams, Placide, 1929-2003",Placide Adams,Placide,Adams,1929,2003,"Placide Adams, b, Waldren """"Frog"""" Joseph, tb, Avery 'Kid' Howard, tp, Louis Cottrell, Jr., cl, Paul Barbarin, d, leader in the 16th Ward. corner of Lowerline & Freret Streets",,1963-12-01,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/15/13,OPH000075,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/75,75,76.jp2,/p16313coll33/image/76.jp2,http://sws.geonames.org/4335053/
Paul Barbarin's Band,,,"Joseph, Waldren, 1918-",Waldren Joseph,Waldren,Joseph,1918,,"Placide Adams, b, Waldren """"Frog"""" Joseph, tb, Avery 'Kid' Howard, tp, Louis Cottrell, Jr., cl, Paul Barbarin, d, leader in the 16th Ward. corner of Lowerline & Freret Streets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/75,75,,,
Paul Barbarin's Band,,,"Howard, Avery, 1908-1966",Avery Howard,Avery,Howard,1908,1966,"Placide Adams, b, Waldren """"Frog"""" Joseph, tb, Avery 'Kid' Howard, tp, Louis Cottrell, Jr., cl, Paul Barbarin, d, leader in the 16th Ward. corner of Lowerline & Freret Streets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/75,75,,,
Paul Barbarin's Band,,,"Cottrell, Louis, 1911-1978",Louis Cottrell,Louis,Cottrell,1911,1978,"Placide Adams, b, Waldren """"Frog"""" Joseph, tb, Avery 'Kid' Howard, tp, Louis Cottrell, Jr., cl, Paul Barbarin, d, leader in the 16th Ward. corner of Lowerline & Freret Streets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/75,75,,,
Paul Barbarin's Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Placide Adams, b, Waldren """"Frog"""" Joseph, tb, Avery 'Kid' Howard, tp, Louis Cottrell, Jr., cl, Paul Barbarin, d, leader in the 16th Ward. corner of Lowerline & Freret Streets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/75,75,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Jerry Greene, Albert Walters; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000076,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/76,76,77.jp2,/p16313coll33/image/77.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Walters, Albert, 1905-1980",Albert Walters,Albert,Walters,1905,1980,"Jerry Greene, Albert Walters; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/76,76,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Cottrell, Louis",Louis Cottrell,Louis,Cottrell,,,Louis Cottrell; also Dave 'Fred' Stead; at Tulane Derby Day,,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000082,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/77,77,78.jp2,/p16313coll33/image/78.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Stead, Dave",Dave Stead,Dave,Stead,,,Louis Cottrell; also Dave 'Fred' Stead; at Tulane Derby Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/77,77,,,
Sweet Emma Barrett,"Russell, William",,"Barrett, Emma, 1897-1983",Emma Barrett,Emma,Barrett,1897,1983,"Barrett, Sweet Emma with Brady Smith, d; during New Orleans Jazz Club party",,1959,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/20/13,OPH000117,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/78,78,79.jp2,/p16313coll33/image/79.jp2,http://sws.geonames.org/4335053/
Sweet Emma Barrett,,,"Smith, Brady",Brady Smith,Brady,Smith,,,"Barrett, Sweet Emma with Brady Smith, d; during New Orleans Jazz Club party",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/78,78,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Jerry Greene, Albert Walters, Louis Nelson; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000077,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/79,79,80.jp2,/p16313coll33/image/80.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Walters, Albert, 1905-1980",Albert Walters,Albert,Walters,1905,1980,"Jerry Greene, Albert Walters, Louis Nelson; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/79,79,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Cottrell, Louis",Louis Cottrell,Louis,Cottrell,,,"Louis Cottrell, Avery 'Kid' Howard; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000079,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/80,80,81.jp2,/p16313coll33/image/81.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Howard, Avery, 1908-1966",Avery Howard,Avery,Howard,1908,1966,"Louis Cottrell, Avery 'Kid' Howard; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/80,80,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Howard, Avery, 1908-1966",Avery Howard,Avery,Howard,1908,1966,"Ernie Cagnolatti, Avery 'Kid' Howard, Albert Walters; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000080,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/81,81,82.jp2,/p16313coll33/image/82.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Cagnolatti, Ernie, 1911-1983",Ernie Cagnolatti,Ernie,Cagnolatti,1911,1983,"Ernie Cagnolatti, Avery 'Kid' Howard, Albert Walters; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/81,81,,,
Paul Barbarin with his Onward Brass Band,,,"Walters, Albert, 1905-1980",Albert Walters,Albert,Walters,1905,1980,"Ernie Cagnolatti, Avery 'Kid' Howard, Albert Walters; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/81,81,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Jerry Greene, Louis Cottrell, Jack Willis, Wardell Quezerque; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000078,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/82,82,83.jp2,/p16313coll33/image/83.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Cottrell, Louis, 1911-1978",Louis Cottrell,Louis,Cottrell,1911,1978,"Jerry Greene, Louis Cottrell, Jack Willis, Wardell Quezerque; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/82,82,,,
Paul Barbarin with his Onward Brass Band,,,"Willis, Jack",Jack Willis,Jack,Willis,,,"Jerry Greene, Louis Cottrell, Jack Willis, Wardell Quezerque; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/82,82,,,
Paul Barbarin with his Onward Brass Band,,,"Quezerque, Wardell",Wardell Quezerque,Wardell,Quezerque,,,"Jerry Greene, Louis Cottrell, Jack Willis, Wardell Quezerque; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/82,82,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Barbarin, Louis, 1902-1997",Louis Barbarin,Louis,Barbarin,1902,1997,"Louis Barbarin, Paul Barbarin; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000083,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/83,83,84.jp2,/p16313coll33/image/84.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Louis Barbarin, Paul Barbarin; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/83,83,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Nelson, Louis, 1902-199",Louis Nelson,Louis,Nelson,1902,199,"Louis Nelson; also, Dave 'Fred' Stead; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000084,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/84,84,85.jp2,/p16313coll33/image/85.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Stead, Dave",Dave Stead,Dave,Stead,,,"Louis Nelson; also, Dave 'Fred' Stead; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/84,84,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Nelson, Louis, 1902-199",Louis Nelson,Louis,Nelson,1902,199,"Louis Nelson, Jerry Greene; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000085,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/85,85,86.jp2,/p16313coll33/image/86.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Louis Nelson, Jerry Greene; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/85,85,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Quezerque, Wardell",Wardell Quezerque,Wardell,Quezerque,,,"Wardell Quezerque, Louis Cottrell; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000086,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/86,86,87.jp2,/p16313coll33/image/87.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Cottrell, Louis",Louis Cottrell,Louis,Cottrell,,,"Wardell Quezerque, Louis Cottrell; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/86,86,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Howard, Kid, 1908-1966",Kid Howard,Kid,Howard,1908,1966,"Kid Howard, Paul Barbarin; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000087,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/87,87,88.jp2,/p16313coll33/image/88.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Kid Howard, Paul Barbarin; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/87,87,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Paul Barbarin, Louis Barbarin; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000088,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/88,88,89.jp2,/p16313coll33/image/89.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Barbarin, Louis, 1902-1997",Louis Barbarin,Louis,Barbarin,1902,1997,"Paul Barbarin, Louis Barbarin; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/88,88,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Barbarin, Louis, 1902-1997",Louis Barbarin,Louis,Barbarin,1902,1997,"Paul Barbarin, Louis Barbarin; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000089,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/89,89,90.jp2,/p16313coll33/image/90.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Barbarin, Paul, 1899-1969",Paul Barbarin,Paul,Barbarin,1899,1969,"Paul Barbarin, Louis Barbarin; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/89,89,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Stead, Dave",Dave Stead,Dave,Stead,,,Personnel not identified; also Dave 'Fred' Stead; at Tulane Derby Day,,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000091,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/91,91,92.jp2,/p16313coll33/image/92.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Barbarin, Louis, 1902-1997",Louis Barbarin,Louis,Barbarin,1902,1997,"Louis Barbarin, also Dave Stead; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000092,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/92,92,93.jp2,/p16313coll33/image/93.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Stead, Dave",Dave Stead,Dave,Stead,,,"Louis Barbarin, also Dave Stead; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/92,92,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Walters, Albert, 1905-1980",Albert Walters,Albert,Walters,1905,1980,"Albert Walters, Jack Willis, Louis Nelson, Jerry Greene; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000093,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/93,93,94.jp2,/p16313coll33/image/94.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Willis, Jack",Jack Willis,Jack,Willis,,,"Albert Walters, Jack Willis, Louis Nelson, Jerry Greene; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/93,93,,,
Paul Barbarin with his Onward Brass Band,,,"Nelson, Louis, 1902-1990",Louis Nelson,Louis,Nelson,1902,1990,"Albert Walters, Jack Willis, Louis Nelson, Jerry Greene; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/93,93,,,
Paul Barbarin with his Onward Brass Band,,,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Albert Walters, Jack Willis, Louis Nelson, Jerry Greene; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/93,93,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Greene, Jerry",Jerry Greene,Jerry,Greene,,,"Jerry Greene, Louis Nelson; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000094,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/94,94,95.jp2,/p16313coll33/image/95.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Nelson, Louis, 1902-1990",Louis Nelson,Louis,Nelson,1902,1990,"Jerry Greene, Louis Nelson; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/94,94,,,
Paul Barbarin with his Onward Brass Band,"Casimir, Mike",,"Walters, Albert, 1905-1980",Albert Walters,Albert,Walters,1905,1980,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,1962-11,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Copyright is retained in accordance with U. S. copyright laws.,,raeburn@tulane.edu,,,EC,03/18/13,OPH000095,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,96.jp2,/p16313coll33/image/96.jp2,http://sws.geonames.org/4335053/
Paul Barbarin with his Onward Brass Band,,,"Cagnolatti, Ernie, 1911-1983",Ernie Cagnolatti,Ernie,Cagnolatti,1911,1983,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Paul Barbarin with his Onward Brass Band,,,"Howard, Kid, 1908-1966",Kid Howard,Kid,Howard,1908,1966,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Paul Barbarin with his Onward Brass Band,,,"Nelson, Louis, 1902-1990",Louis Nelson,Louis,Nelson,1902,1990,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Paul Barbarin with his Onward Brass Band,,,"Barbarin, Louis, 1902-1997",Louis Barbarin,Louis,Barbarin,1902,1997,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Paul Barbarin with his Onward Brass Band,,,"Quezerque, Wardell",Wardell Quezerque,Wardell,Quezerque,,,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Paul Barbarin with his Onward Brass Band,,,"Allen, Richard, 1927-2007",Richard Allen,Richard,Allen,1927,2007,"Albert Walters, Ernie Cagnolatti, Kid Howard, Louis Nelson, Louis Barbarin, Wardell Quezerque; also present, Richard B. Allen; at Tulane Derby Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/95,95,,,
Sweet Emma Barrett,"Friedlander, Lee",,"Barrett, Emma, 1897-1983",Emma Barrett,Emma,Barrett,1897,1983,"Late 1950's - Luthjen's Bar. 2533 Marais Street, New Orleans",,1950s,,See 'reference url' on navigation bar.,,,New Orleans (La.),,Do not reproduce without permission,,raeburn@tulane.edu,,,EC,03/20/13,OPH000121,,,,,,,,,,,,03/27/13,03/27/13,http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll33/id/96,96,97.jp2,/p16313coll33/image/97.jp2,http://sws.geonames.org/4335053/
